Name,Type,Class,Row,Abbv,CP,Count,Weapon1,Weapon2,Weapon3,Weapon4,AntiShip,AntiAir,Siege,HP,Armor,Repair,Scrap
,Identifier (s),,,,Fleet,,Weapon (s),,,,Firepower,,,Durability,,Speed
Ship Name,Type (s),Class,Row,Abbv.,CP,Count,Weapon (1),Weapon (2),Weapon (3),Weapon (4),AntiAirShip,AntiAirAir,Siege,HP,Armor,Cruise,Warp
Ac721 [A],Generic,Destroyer,Middle row,DD,8,15,Cannon [S] [M],Cannon [S],Aircraft Missile [M],,2320,3583,125,31240,5,800,4000
Ac721 [B],Missile,Destroyer,Back row,DD,8,15,Missile [M],Cannon,Aircraft Missile [M],,3900,3583,345,31240,5,800,4000
Ac721 [C],Ion Cannon,Destroyer,Back row,DD,8,15,Ion Cannon [M],Aircraft Missile [M],,,5250,616,1155,31240,20,750,3750
Ac721 [D],Aircraft,Destroyer,Middle row,DD,8,15,Dual Cannon,Generic Cannon,,,1700,693,181,28130,20,800,4000
Aldabra [A],Generic,Destroyer,Front row,DD,8,10,Cannon [M],Cannon [M],Aircraft Cannon,,7450,2240,775,32980,30,650,3250
Aldabra [B],Armored,Destroyer,Front row,DD,8,10,Heavy Cannon [M],Small Cannon,,,5800,800,1048,32980,45,650,3250
B192 Newland [A],MultiAirRole,Fighter,Air,F,1,10,Cannon [M],Missile,,,600,600,90,4290,0,3000,15000
Balancer Anderson [A],Interference,Fighter,Air,F,1,10,Cannon,,,,300,288,0,3250,0,3000,15000
Bullfrog [A],Siege,Fighter,Air,F,1,10,Torpedo [M],,,,1000,0,440,4240,0,3000,15000
Callisto [A],Torpedo,Cruiser,Back row,CR,20,8,Torpedo [M],Cannon [S],,,15050,1400,3983,70810,40,400,2000
Callisto [B],AntiAirShip,Cruiser,Back row,CR,20,8,Torpedo [M],Cannon [S],,,18504,840,3728,70810,40,400,2000
Callisto [C],Auxiliary,Cruiser,Back row,CR,20,8,Torpedo [M],Cannon [S],,,11550,5100,3003,70810,40,400,2000
